Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
Zoe_11JUN22_MSPEC,a1,b1,0.01694689,Selected,Human,1.694689
Zoe_12APR_MSPEC,a1,b1,0.120355515,Selected,Human,12.0355515
AliceR_04JUNE_MSPEC,a1,a1,0.042994361,Random,Human,4.2994361
AliceR_21JUNE_MSPEC,a1,a1,0.075892146,Random,Human,7.5892146
AliceR_26APR_MSPEC,a1,a1,0.623133475,Random,Human,62.3133475
BowieR_30APR_MSPEC,a1,a1,0.085434201,Random,Human,8.5434201
CATEST19R_14JUNE_MSPEC,a1,a1,0.021432629,Random,Human,2.1432629
DustyR_14JUNE_MSPEC,a1,a1,0.055396318,Random,Human,5.5396318
DustyR_30APR_MSPEC,a1,a1,0.040935991,Random,Human,4.0935991
Dusty_13AUG22,a1,a1,0.03698618,Random,Human,3.698618
ElCocoR_06MAY_MSPEC,a1,a1,0.023437246,Random,Human,2.3437246
ElCocoR_10JUNE_MSPEC,a1,a1,0.128491175,Random,Human,12.8491175
ElCocoR_14MAY_MSPEC,a1,a1,0.054848031,Random,Human,5.4848031
ElCoco_10JUL22_MSPEC,a1,a1,0.040869323,Random,Human,4.0869323
ElCoco_19SEP22,a1,a1,0.035861384,Random,Human,3.5861384
ElCoco_2SEP22,a1,a1,0.043990167,Random,Human,4.3990167
ElianeR_12APR_MSPEC,a1,a1,0.60747945,Random,Human,60.747945
ElianeR_19APR_MSPEC,a1,a1,0.028648842,Random,Human,2.8648842
GibbardR_23APR_MSPEC,a1,a1,0.740497607,Random,Human,74.0497607
GibbardR_30APR_MSPEC,a1,a1,0.054479031,Random,Human,5.4479031
HankR_14MAY_MSPEC,a1,a1,0.239950618,Random,Human,23.9950618
HankR_19MAY_MSPEC,a1,a1,0.109833519,Random,Human,10.9833519
Hank_05JULY_MSPEC,a1,a1,0.073641712,Random,Human,7.3641712
Hank_09JULY_MSPEC,a1,a1,0.058704163,Random,Human,5.8704163
Hank_30JUL22_R,a1,a1,0.050065051,Random,Human,5.0065051
KurtR_07MAY_MSPEC,a1,a1,0.084758487,Random,Human,8.4758487
KurtR_14MAY_MSPEC,a1,a1,0.408437409,Random,Human,40.8437409
KurtR_30APRIL_MSPEC,a1,a1,0.058006775,Random,Human,5.8006775
ShakeyR_05APRIL_MSPEC,a1,a1,0.095496305,Random,Human,9.5496305
ShakeyR_07MAY_MSPEC,a1,a1,0.181216282,Random,Human,18.1216282
ShakeyR_11JUNE_MSPEC,a1,a1,0.053449267,Random,Human,5.3449267
ShakeyR_12APRIL_MSPEC,a1,a1,0.084684275,Random,Human,8.4684275
ShakeyR_25JUNE_MSPEC,a1,a1,0.105800601,Random,Human,10.5800601
ShaniaR_10JUNE_MSPEC,a1,a1,0.147287609,Random,Human,14.7287609
TYR_04JUNE_MSPEC,a1,a1,0.403121786,Random,Human,40.3121786
UnIDF_2SEP22,a1,a1,0.038621809,Random,Human,3.8621809
WillyR_04JUNE_MSPEC,a1,a1,0.224903916,Random,Human,22.4903916
WillyR_21JUNE_MSPEC,a1,a1,0.039104409,Random,Human,3.9104409
WillyR_26APR_MSPEC,a1,a1,0.033726576,Random,Human,3.3726576
WillyR_30APRIL_MSPEC,a1,a1,0.130308938,Random,Human,13.0308938
YvetteR_16APRIL_MSPEC,a1,a1,0.057755728,Random,Human,5.7755728
YvetteR_23APR_MSPEC,a1,a1,0.064702206,Random,Human,6.4702206
ZoeR_11JUNE_MSPEC,a1,a1,0.087532549,Random,Human,8.7532549
ZoeR_12APR_MSPEC,a1,a1,0.08157461,Random,Human,8.157461
Alice_21JUN22_MSPEC,a1,b1,0.037342135,Selected,Peafowl,3.7342135
Alice_26APR_MSPEC,a1,b1,0.131578678,Selected,Peafowl,13.1578678
Alice_4JUN22_MSPEC,a1,b1,0.060265615,Selected,Peafowl,6.0265615
Bowie_30APR_MSPEC,a1,b1,0.0292437,Selected,Peafowl,2.92437
CATEST19_14JUN22_MSPEC,a1,b1,0.018587365,Selected,Peafowl,1.8587365
Dusty_13AUG22,a1,b1,0.034245414,Selected,Peafowl,3.4245414
Dusty_14JUN22_MSPEC,a1,b1,0.017074898,Selected,Peafowl,1.7074898
Dusty_30APR_MSPEC,a1,b1,0.072952239,Selected,Peafowl,7.2952239
ElCoco_10JUL22_MSPEC,a1,b1,0.01846755,Selected,Peafowl,1.846755
ElCoco_10JUN22_MSPEC,a1,b1,0.10614494,Selected,Peafowl,10.614494
Elcoco_14MAY22_MSPEC,a1,b1,0.041078593,Selected,Peafowl,4.1078593
ElCoco_19SEP22,a1,b1,0.017719776,Selected,Peafowl,1.7719776
ElCoco_2SEP22,a1,b1,0.043235896,Selected,Peafowl,4.3235896
ElCoco_6MAY22_MSPEC,a1,b1,0.139496935,Selected,Peafowl,13.9496935
Eliane_12APR_MSPEC,a1,b1,0.362892178,Selected,Peafowl,36.2892178
