Photo,Zone A,Zone B,JND_diff,Selected_random,Model,JND_Type
Kurt_30APR22_MSPEC,a1,b1,0.438818302,Selected,Human,Color
Kurt_7MAY22_MSPEC,a1,b1,1.164346344,Selected,Human,Color
Shakey_11JUN22_MSPEC,a1,b1,0.638173375,Selected,Human,Color
Shakey_12APR22_MSPEC,a1,b1,1.552388617,Selected,Human,Color
Shakey_25JUN22_MSPEC,a1,b1,1.67500931,Selected,Human,Color
Shakey_5APR22_MSPEC,a1,b1,0.214169735,Selected,Human,Color
Shakey_7MAY22_MSPEC,a1,b1,0.726846073,Selected,Human,Color
Shania_10JUN22_MSPEC,a1,b1,1.149943652,Selected,Human,Color
Ty_4JUN22_MSPEC,a1,b1,0.758853742,Selected,Human,Color
UnIDF_2SEP22,a1,b1,0.042825942,Selected,Human,Color
Willy_21JUN22_MSPEC,a1,b1,0.416849743,Selected,Human,Color
Willy_26APR_MSPEC,a1,b1,0.624779776,Selected,Human,Color
Willy_30APR22_MSPEC,a1,b1,0.643657986,Selected,Human,Color
Willy_4JUN22_MSPEC,a1,b1,0.283148758,Selected,Human,Color
Yvette_16APR22_MSPEC,a1,b1,0.112123801,Selected,Human,Color
Yvette_23APR_MSPEC,a1,b1,0.106237364,Selected,Human,Color
Zoe_11JUN22_MSPEC,a1,b1,0.937549353,Selected,Human,Color
Zoe_12APR_MSPEC,a1,b1,1.201419619,Selected,Human,Color
Alice_4JUN22_MSPEC,a1,a1,0.241447052,Random,Human,Color
Alice_21JUN22_MSPEC,a1,a1,0.587581803,Random,Human,Color
Alice_26APR_MSPEC,a1,a1,0.766594986,Random,Human,Color
Bowie_30APR_MSPEC,a1,a1,0.756386781,Random,Human,Color
CATEST19_14JUN22_MSPEC,a1,a1,0.256895581,Random,Human,Color
Dusty_14JUN22_MSPEC,a1,a1,0.065443659,Random,Human,Color
Dusty_30APR_MSPEC,a1,a1,0.177550002,Random,Human,Color
Dusty_13AUG22_R,a1,a1,1.316080947,Random,Human,Color
ElCoco_6MAY22_MSPEC,a1,a1,0.503326165,Random,Human,Color
ElCoco_10JUN22_MSPEC,a1,a1,0.159599765,Random,Human,Color
Elcoco_14MAY22_MSPEC,a1,a1,0.41608429,Random,Human,Color
ELCoco_10JULY_MSPEC,a1,a1,0.529870303,Random,Human,Color
ElCoco_19SEP22_R,a1,a1,0.081773441,Random,Human,Color
ElCoco_2SEP22_R,a1,a1,0.191089846,Random,Human,Color
Eliane_12APR_MSPEC,a1,a1,2.39370474,Random,Human,Color
Eliane_19APR_MSPEC,a1,a1,0.799086278,Random,Human,Color
Gibbard_23APR_MSPEC,a1,a1,2.904264424,Random,Human,Color
Gibbard_30APR_MSPEC,a1,a1,0.260694056,Random,Human,Color
Hank_14MAY22_MSPEC,a1,a1,0.115731801,Random,Human,Color
Hank_19MAY22_MSPEC,a1,a1,1.174824982,Random,Human,Color
Hank_5JUL22_MSPEC,a1,a1,0.104765128,Random,Human,Color
Hank_9JUL22_MSPEC,a1,a1,1.40399226,Random,Human,Color
Hank_30JULY22_MSPEC,a1,a1,0.383817782,Random,Human,Color
Kurt_7MAY22_MSPEC,a1,a1,0.816430812,Random,Human,Color
Kurt_14MAY22_MSPEC,a1,a1,3.370068556,Random,Human,Color
Kurt_30APR22_MSPEC,a1,a1,0.128009649,Random,Human,Color
Shakey_5APR22_MSPEC,a1,a1,0.449918309,Random,Human,Color
Shakey_7MAY22_MSPEC,a1,a1,0.710137309,Random,Human,Color
Shakey_11JUN22_MSPEC,a1,a1,2.043447478,Random,Human,Color
Shakey_12APR22_MSPEC,a1,a1,0.23509034,Random,Human,Color
Shakey_25JUN22_MSPEC,a1,a1,0.409737226,Random,Human,Color
Shania_10JUN22_MSPEC,a1,a1,0.580291152,Random,Human,Color
Ty_4JUN22_MSPEC,a1,a1,2.992589419,Random,Human,Color
UnIDF_2SEP22_R,a1,a1,0.158659987,Random,Human,Color
Willy_4JUN22_MSPEC,a1,a1,0.538456691,Random,Human,Color
Willy_21JUN22_MSPEC,a1,a1,1.248526373,Random,Human,Color
Willy_26APR_MSPEC,a1,a1,0.368775243,Random,Human,Color
Willy_30APR22_MSPEC,a1,a1,1.216899669,Random,Human,Color
